word,freq,id
de,423321,101
la,231958,102
que,218608,103
el,183379,104
en,180425,105
y,149656,106
a,134707,107
los,101703,108
del,78063,109
se,78012,110
un,75065,111
las,62701,112
por,62337,113
con,60920,114
una,55437,115
no,53388,116
para,52096,117
su,46801,118
es,44775,119
al,38580,120
ha,35467,121
lo,32573,122
El,31477,123
más,30070,124
La,26236,125
como,26050,126
de los,25436,127
a la,21388,128
sus,17655,129
En,16970,130
pero,15002,131
o,13941,132
fue,13222,133
le,12997,134
este,12936,135
años,12924,136
han,12516,137
dijo,10878,138
ya,10733,139
Los,10516,140
dos,10483,141
si,10162,142
sobre,10029,143
ser,9643,144
son,9555,145
entre,9011,146
desde,8922,147
está,8920,148
muy,8728,149
también,8722,150
hay,8677,151
esta,8595,152
cuando,8488,153
No,8222,154
sin,8117,155
me,7786,156
hasta,7492,157
año,7467,158
de un,7382,159
porque,7379,160
Y,7257,161
tiene,7232,162
millones,7087,163
todo,7078,164
país,6634,165
hace,6453,166
Pero,6387,167
donde,6381,168
puede,6366,169
contra,6117,170
uno,6114,171
sido,6069,172
..,6051,173
vez,6001,174
A,5971,175
personas,5916,176
de una,5753,177
pasado,5691,178
Es,5595,179
Las,5547,180
todos,5427,181
Por,5421,182
después,5406,183
parte,5406,184
hacer,5342,185
quien,5276,186
eso,5253,187
durante,5127,188
tres,5121,189
ni,5118,190
había,5086,191
nos,5055,192
ahora,5043,193
menos,4999,194
era,4961,195
ese,4809,196
otros,4787,197
así,4769,198
mismo,4704,199
día,4697,200
sólo,4688,201
bien,4681,202
mundo,4637,203
De,4585,204
según,4570,205
están,4569,206
hecho,4521,207
mejor,4481,208
Además,4469,209
horas,4424,210
primera,4415,211
cada,4380,212
ante,4351,213
Si,4298,214
les,4285,215
caso,4235,216
vida,4215,217
2011,4173,218
presidente,4161,219
primer,4110,220
esa,4097,221
tras,4077,222
antes,4029,223
gobierno,4022,224
mi,4022,225
España,4014,226
tiempo,4009,227
e,4007,228
gran,4004,229
equipo,3993,230
Gobierno,3988,231
fueron,3967,232
embargo,3912,233
mucho,3909,234
Para,3852,235
aunque,3847,236
nuevo,3751,237
hoy,3740,238
días,3739,239
Se,3717,240
Sin,3715,241
ciento,3707,242
ellos,3705,243
lugar,3705,244
unos,3692,245
qué,3652,246
será,3579,247
México,3577,248
partido,3562,249
Al,3489,250
mientras,3448,251
tienen,3444,252
poco,3443,253
forma,3425,254
va,3409,255
algo,3376,256
mil,3366,257
mayor,3358,258
siempre,3352,259
él,3351,260
Un,3348,261
euros,3338,262
Lo,3330,263
Según,3328,264
nada,3322,265
ciudad,3278,266
Estados,3250,267
otro,3240,268
solo,3195,269
ver,3184,270
final,3160,271
acuerdo,3143,272
sea,3128,273
países,3121,274
Unidos,3115,275
Así,3085,276
También,3069,277
cuatro,3053,278
Una,3048,279
grupo,3021,280
momento,3004,281
tener,3002,282
cuenta,2965,283
estos,2962,284
poder,2957,285
